City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,kendari,-3.945,122.4989,29.65,59,72,2.31,ID,1691982952
142,freeport,40.6576,-73.5832,27.32,68,100,4.12,US,1691982903
143,punta arenas,-53.15,-70.9167,0.62,85,94,6.26,CL,1691982732
144,xibing,26.9814,119.7247,33.47,62,16,1.4,CN,1691982953
145,pasni,25.2631,63.471,27.47,86,96,3.52,PK,1691982953
146,vel'sk,61.0701,42.0983,17.89,93,100,2.81,RU,1691982953
147,vorgashor,67.5833,63.95,16.64,92,99,3.1,RU,1691982953
148,strelka,58.0728,93.0344,19.61,64,11,1.57,RU,1691982953
149,rajin,42.2489,130.3003,19.87,97,100,2.28,KP,1691982953
150,choyr,46.3611,108.3611,25.16,37,96,2.55,MN,1691982954
151,tolanaro,-25.0319,46.9987,19.63,94,25,4.27,MG,1691982954
152,kelso,46.1468,-122.9084,32.92,37,0,2.57,US,1691982954
153,harper,4.375,-7.7169,23.93,80,95,4.4,LR,1691982954
154,flying fish cove,-10.4217,105.6791,26.82,73,40,6.17,CX,1691982955
155,gillette,44.2911,-105.5022,15.53,57,0,3.09,US,1691982955
156,wailua homesteads,22.0669,-159.378,28.44,71,75,5.66,US,1691982955
157,qaqortoq,60.7167,-46.0333,7.3,80,74,0.22,GL,1691982955
158,chutove,49.7104,35.1603,16.35,63,0,1.48,UA,1691982955
159,callao,-12.0667,-77.15,21.16,68,0,4.12,PE,1691982955
160,coquimbo,-29.9533,-71.3436,14.85,88,100,1.03,CL,1691982696
161,el nido,11.1858,119.3956,29.51,71,73,4.42,PH,1691982956
162,st. john's,47.5649,-52.7093,17.76,89,75,6.69,CA,1691982733
163,sosnogorsk,63.6023,53.8817,21.27,69,57,1.9,RU,1691982956
164,nurota,40.5614,65.6886,18.94,22,0,6.6,UZ,1691982956
165,angra do heroismo,38.65,-27.2167,22.34,88,40,1.8,PT,1691982956
166,kirkland lake,48.1446,-80.0377,15.16,88,91,1.03,CA,1691982957
167,lubao,14.9167,120.55,32.84,60,82,2.6,PH,1691982957
168,east london,-33.0153,27.9116,14.52,82,75,3.09,ZA,1691982764
169,novofedorivka,46.1713,32.3178,21.52,56,0,3.7,UA,1691982957
170,synel'nykove,48.3204,35.5179,17.81,58,0,1.01,UA,1691982957
171,yeniseysk,58.4497,92.1703,19.61,63,8,1.32,RU,1691982958
172,nuuk,64.1835,-51.7216,7.34,100,100,5.14,GL,1691982958
173,santa vitoria do palmar,-33.5189,-53.3681,7.12,68,64,3.69,BR,1691982958
174,ponta delgada,37.7333,-25.6667,21.4,88,20,2.06,PT,1691982958
175,thinadhoo,0.5333,72.9333,27.95,73,46,4.67,MV,1691982958
176,katsuura,35.1333,140.3,31.01,88,4,6.03,JP,1691982959
177,cox's bazar,21.4532,91.9798,27.65,84,97,4.7,BD,1691982959
178,kerikeri,-35.2268,173.9474,12.05,93,100,2.38,NZ,1691982959
179,rosso,16.4986,-15.8153,26.9,78,81,4.65,SN,1691982959
180,bardai,11.65,7.2333,20.41,90,100,2.57,NG,1691982959
181,port hedland,-20.3167,118.5667,30.03,23,13,2.57,AU,1691982960
182,tarfaya,27.9358,-12.9218,21.67,91,23,7.64,MA,1691982960
183,broken hill,-31.95,141.4333,17.21,59,71,3.87,AU,1691982960
184,greifswald,54.1,13.3833,17.26,100,99,2.08,DE,1691982960
185,salinopolis,-0.6136,-47.3561,25.69,85,43,3.5,BR,1691982961
186,boda,4.3189,17.4695,20.51,97,88,1.38,CF,1691982961
187,nyurba,63.2842,118.3319,23.37,57,95,3.07,RU,1691982961
188,tidjikja,18.5564,-11.4271,31.75,46,91,7.39,MR,1691982962
189,franklin,39.9667,-83.0166,24.68,78,100,0.0,US,1691982505
190,sittwe,20.15,92.9,27.85,82,96,2.85,MM,1691982962
191,kenora,49.8167,-94.4337,18.54,68,40,1.54,CA,1691982962
192,kirensk,57.7853,108.1119,24.33,59,17,2.36,RU,1691982962
193,minas de marcona,-15.2119,-75.1103,13.0,85,12,3.49,PE,1691982963
194,kaoma,-14.7833,24.8,10.97,50,0,2.43,ZM,1691982963
195,tazovsky,67.4667,78.7,12.23,61,1,2.12,RU,1691982963
196,kolokani,13.5728,-8.0339,21.48,90,100,2.48,ML,1691982963
197,amga,60.8953,131.9608,15.72,88,100,4.09,RU,1691982964
198,nemuro,43.3236,145.575,14.68,81,98,7.2,JP,1691982964
199,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,56,75,5.0,RU,1691982908
200,nelson bay,-32.7167,152.15,17.27,83,91,3.58,AU,1691982964
201,atafu village,-8.5421,-172.5159,28.46,76,84,7.74,TK,1691982964
202,paola,39.3599,16.0396,21.62,61,0,2.07,IT,1691982965
203,constantia,44.1833,28.65,17.61,73,0,6.57,RO,1691982965
204,nouadhibou,20.931,-17.0347,21.89,93,98,5.12,MR,1691982965
205,kremenchuk,49.0973,33.4197,18.31,55,0,1.97,UA,1691982965
206,cockburn town,21.4612,-71.1419,28.9,80,4,8.76,TC,1691982965
207,northam,51.0333,-4.2167,19.25,98,100,7.42,GB,1691982966
208,divnomorskoye,44.5011,38.1353,22.47,64,11,3.54,RU,1691982966
209,filadelfia,39.9523,-75.1638,25.08,73,0,2.06,US,1691982698
210,pultusk,52.7025,21.0828,20.03,82,100,2.69,PL,1691982967
211,inhambane,-23.865,35.3833,18.22,79,0,2.9,MZ,1691982967
212,broome,42.2506,-75.833,19.74,79,99,1.2,US,1691982967
213,port mathurin,-19.6833,63.4167,23.06,71,20,9.43,MU,1691982967
214,labin,45.095,14.1197,22.14,56,0,2.66,HR,1691982968
215,freetown,8.484,-13.2299,25.84,89,75,4.12,SL,1691982968
216,thames,-37.1333,175.5333,14.61,66,88,3.03,NZ,1691982968
217,port augusta,-32.5,137.7667,17.4,57,100,5.07,AU,1691982968
218,saint-philippe,-21.3585,55.7679,21.77,86,37,5.89,RE,1691982969
219,yanchep,-31.55,115.6833,20.34,53,7,2.82,AU,1691982969
220,polyarnyy,69.1989,33.4478,14.83,80,100,2.13,RU,1691982969
221,tacoaleche,22.8167,-102.4167,24.25,60,41,3.51,MX,1691982969
222,immendingen,47.9333,8.7333,20.17,77,99,1.12,DE,1691982970
223,ivdel',60.6911,60.4206,19.87,63,100,1.62,RU,1691982970
224,bikenibeu village,1.3673,173.1241,27.98,83,75,4.63,KI,1691982970
225,isla vista,34.4133,-119.861,22.77,82,20,4.12,US,1691982970
226,nova sintra,14.8667,-24.7167,23.7,82,97,2.47,CV,1691982970
227,tamanrasset,22.785,5.5228,27.95,20,0,3.6,DZ,1691982971
228,dubbo,-32.25,148.6167,13.07,94,100,5.14,AU,1691982211
229,miles city,46.4083,-105.8406,21.54,43,0,0.0,US,1691982845
230,saldanha,-33.0117,17.9442,11.38,72,2,4.62,ZA,1691982971
231,kemri,28.8167,79.2167,26.31,92,100,5.57,IN,1691982972
232,kingston,17.997,-76.7936,26.25,90,2,1.34,JM,1691982731
233,tyukhtet,56.5389,89.3011,18.02,69,72,0.99,RU,1691982972
234,myeik,12.4333,98.6,27.9,82,96,4.31,MM,1691982972
235,sa'dah,16.9402,43.7639,21.1,62,43,2.18,YE,1691982972
236,bertioga,-23.8544,-46.1386,17.79,91,100,2.63,BR,1691982973
237,arno,60.1167,18.6333,13.77,93,77,3.36,SE,1691982973
238,novodvinsk,64.4165,40.8122,17.57,98,97,1.87,RU,1691982973
239,mossel bay,-34.1831,22.146,8.96,82,78,3.85,ZA,1691982973
240,xunchang,28.4543,104.715,31.43,60,8,0.65,CN,1691982973
241,mount pearl,47.5166,-52.7813,17.3,90,75,6.69,CA,1691982974
242,juan griego,11.0817,-63.9655,28.07,89,4,5.14,VE,1691982974
243,masterton,-40.9597,175.6575,11.6,62,47,4.11,NZ,1691982974
244,mthatha,-31.5889,28.7844,12.8,94,91,1.61,ZA,1691982706
245,tofol,5.3248,163.0078,31.88,70,75,1.54,FM,1691982975
246,taco pozo,-25.6167,-63.2833,14.35,29,0,2.98,AR,1691982975
247,el granada,37.5027,-122.4694,26.08,83,100,8.23,US,1691982975
248,inongo,-1.95,18.2667,20.85,87,43,1.85,CD,1691982975
249,vernon,50.2581,-119.2691,29.05,41,7,1.22,CA,1691982660
250,malynivka,49.8167,36.7333,16.81,69,0,1.52,UA,1691982976
251,shira,54.4911,89.9531,16.85,61,97,2.17,RU,1691982976
252,rakops,-21.0167,24.3333,15.47,29,0,4.35,BW,1691982976
253,naze,28.3667,129.4833,28.51,74,12,3.33,JP,1691982976
254,san luis de la loma,17.2706,-100.8939,27.52,88,4,1.6,MX,1691982976
255,tadpatri,14.9167,78.0167,28.07,56,100,5.49,IN,1691982977
256,san jose del guaviare,2.5729,-72.6459,22.52,97,75,1.04,CO,1691982978
257,harnosand,62.6323,17.9379,11.01,88,50,1.98,SE,1691982978
258,newman,37.3138,-121.0208,31.99,31,83,2.75,US,1691982979
259,mirpur sakro,24.5474,67.6277,27.89,76,100,9.47,PK,1691982981
260,fortuna,40.5982,-124.1573,15.52,91,100,3.6,US,1691982964
261,saudarkrokur,65.7461,-19.6394,7.48,86,14,1.32,IS,1691982983
262,hermanus,-34.4187,19.2345,9.33,68,42,3.7,ZA,1691982987
263,ternitz,47.7156,16.0357,18.93,81,36,2.5,AT,1691982988
264,buta,2.7858,24.73,20.78,99,100,0.8,CD,1691982988
265,port lincoln,-34.7333,135.8667,14.32,61,63,3.05,AU,1691982992
266,bubaque,11.2833,-15.8333,26.37,84,100,5.8,GW,1691982993
267,chinde,26.8418,88.0763,21.28,86,100,0.84,NP,1691982993
268,hamilton,39.1834,-84.5333,25.55,72,0,0.0,US,1691982741
269,nar'yan-mar,67.6713,53.087,15.69,78,100,1.76,RU,1691982994
270,bandarbeyla,9.4942,50.8122,24.69,76,2,7.91,SO,1691982996
271,puerto deseado,-47.7503,-65.8938,4.33,75,39,1.27,AR,1691982998
272,bathsheba,13.2167,-59.5167,28.34,83,20,8.75,BB,1691982998
273,faya-largeau,17.9257,19.1043,27.05,60,100,2.48,TD,1691982998
274,keflavik,64.0049,-22.5624,9.95,100,0,3.6,IS,1691982999
275,camana,-16.6228,-72.7111,17.17,85,3,1.89,PE,1691982999
276,horqueta,-23.3428,-57.0597,13.98,41,100,1.32,PY,1691982999
277,bouarfa,32.53,-1.95,23.74,18,0,1.77,MA,1691982999
278,kalmunai,7.4167,81.8167,29.3,61,69,1.63,LK,1691982999
279,lensk,60.7253,114.9278,24.89,61,19,1.57,RU,1691982956
280,veselynove,47.3567,31.2349,18.97,49,0,1.88,UA,1691983000
281,santa quiteria,-4.3319,-40.1567,24.77,54,36,1.62,BR,1691983000
282,hawaiian paradise park,19.5933,-154.9731,27.73,75,20,4.12,US,1691983000
283,arraial do cabo,-22.9661,-42.0278,20.56,89,100,6.23,BR,1691983000
284,san clemente del tuyu,-36.3569,-56.7235,10.55,66,99,8.17,AR,1691983001
285,badger,64.8,-147.5333,20.95,51,20,3.09,US,1691983001
286,la tuque,47.4334,-72.7824,17.14,94,62,0.51,CA,1691983001
287,pompeu,-19.2244,-44.9353,22.3,50,100,3.1,BR,1691983001
288,hirara,24.8,125.2833,32.15,74,75,5.66,JP,1691983001
289,mil'kovo,55.6078,37.7956,18.27,94,85,3.93,RU,1691983001
290,axim,4.8699,-2.2405,23.98,88,66,4.55,GH,1691983002
291,poiana lacului,44.8167,24.7333,17.12,51,0,2.74,RO,1691983002
292,san antonio de pale,-1.4014,5.6325,23.73,86,100,6.51,GQ,1691983002
293,crane,31.3974,-102.3501,33.77,26,0,8.13,US,1691983002
294,najran,17.4924,44.1277,27.36,39,86,3.28,SA,1691983002
295,amalapuram,16.5833,82.0167,30.56,61,100,2.09,IN,1691983003
296,puerto leguizamo,-0.1934,-74.7819,21.95,98,52,1.02,CO,1691983003
297,zima,53.9202,102.0442,23.64,60,51,2.79,RU,1691983003
298,midvagur,62.0511,-7.1939,10.46,87,75,7.2,FO,1691983003
299,kazan,55.7887,49.1221,21.34,46,100,2.2,RU,1691983003
300,onega,63.9061,38.1404,17.01,95,93,3.21,RU,1691983003
301,mafinga,-7.25,35.0667,17.14,71,9,1.13,TZ,1691983004
302,nueva palmira,-33.8833,-58.4167,11.21,45,100,5.21,UY,1691983004
303,raducaneni,46.95,27.9333,14.31,52,0,0.43,RO,1691983004
304,weno,7.4515,151.8468,27.97,74,100,0.0,FM,1691983004
305,mercedes,-34.6515,-59.4307,11.47,45,98,4.82,AR,1691983004
306,zuunmod,47.7069,106.9528,19.57,69,100,2.66,MN,1691983004
307,hammerfest,70.6634,23.6821,16.25,77,40,2.06,NO,1691983005
308,lerwick,60.1545,-1.1494,13.0,90,95,2.55,GB,1691983005
309,juli,-16.2167,-69.45,4.84,64,98,1.04,PE,1691983005
310,portland,45.5234,-122.6762,34.96,35,20,3.09,US,1691982459
311,mumford,5.2618,-0.759,23.13,92,50,4.52,GH,1691983005
312,mount gambier,-37.8333,140.7667,12.91,46,23,1.45,AU,1691982974
313,yuzhno-kurilsk,44.0306,145.8556,14.73,80,29,5.47,RU,1691983006
314,necochea,-38.5473,-58.7368,13.29,43,47,10.54,AR,1691983006
315,polovinnoye,54.7914,65.9864,15.32,43,76,4.39,RU,1691983006
316,howrah,22.5892,88.3103,29.0,89,75,2.57,IN,1691983006
317,mejit,10.2753,170.8646,28.52,73,32,6.54,MH,1691983006
318,colares,38.7992,-9.4469,19.31,78,51,12.52,PT,1691983007
319,fort st. john,56.2499,-120.8529,23.94,43,75,7.2,CA,1691983007
320,le krib,36.328,9.1361,16.84,53,0,1.1,TN,1691983007
321,lompoc,34.6391,-120.4579,22.23,86,40,4.47,US,1691982981
322,katsuren-haebaru,26.3369,127.8719,33.43,70,40,5.14,JP,1691982772
323,gopalpur,19.2667,84.9167,28.52,75,100,1.44,IN,1691983008
324,olinda,-8.0089,-34.8553,22.85,88,75,2.57,BR,1691983008
325,nguigmi,14.2495,13.1092,27.29,72,100,2.26,NE,1691983008
326,darwin,-12.4611,130.8418,31.05,41,0,5.14,AU,1691983008
327,zintan,31.9223,12.252,18.85,64,0,3.61,LY,1691983008
328,santiago de cao,-7.9589,-79.2392,21.07,88,100,3.09,PE,1691983008
329,hasaki,35.7333,140.8333,32.39,80,5,4.46,JP,1691983009
330,samana,19.2056,-69.3369,26.78,85,69,3.53,DO,1691983009
331,uturoa,-16.7333,-151.4333,25.6,71,40,5.59,PF,1691983009
332,taoudenni,22.6783,-3.9836,35.61,21,31,7.09,ML,1691983009
333,kaa-khem,51.6833,94.7333,20.11,64,37,1.68,RU,1691983009
334,garissa,-0.4536,39.6401,22.53,85,30,5.55,KE,1691983010
335,oliveira dos brejinhos,-12.3169,-42.8961,21.13,55,4,4.22,BR,1691982885
336,namibe,-15.1961,12.1522,18.07,60,1,4.04,AO,1691982990
337,mutoko,-17.397,32.2268,11.61,61,0,1.24,ZW,1691983010
338,palikir - national government center,6.9248,158.1611,31.41,70,100,3.6,FM,1691983010
339,karratha,-20.7377,116.8463,23.9,37,16,2.26,AU,1691983011
340,sisimiut,66.9395,-53.6735,6.84,84,51,0.9,GL,1691983011
341,angaur state,6.906,134.13,27.88,78,100,6.07,PW,1691983011
342,conception bay south,47.4999,-52.9981,17.63,93,100,3.59,CA,1691983012
343,shyryayeve,47.3805,30.1964,18.53,49,0,0.8,UA,1691983012
344,soio,-6.1349,12.3689,20.39,91,24,3.29,AO,1691983012
345,kitimat,54.0524,-128.6534,19.21,65,100,1.79,CA,1691983012
346,cannonvale,-20.2833,148.7,21.66,56,5,3.01,AU,1691983012
347,yaren,-0.5472,166.916,24.75,89,100,9.57,NR,1691983013
348,sola,-13.8833,167.55,24.39,84,98,10.44,VU,1691983013
349,gadzhiyevo,69.2551,33.3362,14.63,82,100,2.24,RU,1691983013
350,nyakahanga,-1.6033,31.1414,17.21,60,75,0.55,TZ,1691983013
351,mbeya,-8.9,33.45,12.15,87,57,2.51,TZ,1691983014
352,muriae,-21.1306,-42.3664,19.11,90,100,1.5,BR,1691983014
353,kiruna,67.8557,20.2251,11.51,100,100,1.54,SE,1691983014
354,leava,-14.3,-178.1667,27.48,82,39,7.21,WF,1691983014
355,el calafate,-50.3408,-72.2768,-0.4,82,10,1.19,AR,1691983014
356,la'ie,21.6477,-157.9253,30.0,68,5,5.74,US,1691983014
357,warrnambool,-38.3833,142.4833,12.41,59,100,1.64,AU,1691983015
358,shimoda,34.6667,138.95,29.2,89,99,8.82,JP,1691983015
359,chui,-33.6971,-53.4616,6.93,65,42,3.74,UY,1691983013
360,kokopo,-4.352,152.2633,28.12,73,99,8.09,PG,1691983015
361,calvinia,-31.4707,19.776,4.07,83,0,1.14,ZA,1691983015
362,havre,49.5833,0.3333,17.87,82,80,3.09,FR,1691983016
363,mhamid,29.82,-5.72,32.07,12,6,1.88,MA,1691983016
364,lyepyel',54.8814,28.6932,15.17,81,57,1.83,BY,1691983016
365,savannakhet,16.566,104.751,29.01,74,75,2.06,LA,1691983016
366,mount isa,-20.7333,139.5,29.87,23,8,3.09,AU,1691983017
